1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
-1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
-1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
0,10/02/2021,20210210,44855.6167
1,10/02/2021,20210210,44855.6167
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
-1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
-1,09/02/2021,20210209,46502.2933
-1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
-1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
1,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
0,09/02/2021,20210209,46502.2933
